Battery_power_mAh,Bluetooh,Speed_of_microprocessor,Dual_sim,Front_camera,4G,Internal_memeory_gb,Mobile_depth,Mobile_weight,Cores_of_processor,Primary_camera,px_height,Pixel_width,Ram_mb,Screen_height,Screen_weight,talk_time,3G,touch_screen,wifi,price_range
1689 mAh,Yes,2.4,Yes,0 pixels,Yes,13 gb,0.9 cm,168 g,2,9 pixels,521 ppcm,674 ppcm,1172 mb,12 cm,11 cm,17,Yes,Yes,Yes,Low cost
1558 mAh,Yes,2.4,No,0 pixels,Yes,27 gb,0.1 cm,146 g,1,1 pixels,120 ppcm,1409 ppcm,3598 mb,9 cm,2 cm,12,Yes,No,Yes,Very High cost
582 mAh,No,0.5,Yes,3 pixels,No,27 gb,0.2 cm,168 g,3,10 pixels,985 ppcm,1420 ppcm,2437 mb,19 cm,2 cm,2,Yes,Yes,Yes,High cost
1485 mAh,No,2.8,No,3 pixels,Yes,44 gb,0.1 cm,138 g,4,14 pixels,341 ppcm,774 ppcm,3271 mb,14 cm,12 cm,8,Yes,Yes,No,Very High cost
1991 mAh,Yes,1.8,No,11 pixels,No,9 gb,0.7 cm,94 g,3,12 pixels,751 ppcm,1377 ppcm,1511 mb,17 cm,8 cm,9,No,No,No,Medium cost
553 mAh,No,0.5,Yes,2 pixels,Yes,23 gb,0.5 cm,119 g,3,3 pixels,993 ppcm,1517 ppcm,2981 mb,7 cm,3 cm,14,Yes,No,No,High cost
1231 mAh,No,0.7,Yes,2 pixels,No,7 gb,0.9 cm,113 g,1,7 pixels,43 ppcm,1663 ppcm,3119 mb,9 cm,4 cm,15,Yes,Yes,No,Very High cost
805 mAh,No,0.8,No,1 pixels,No,34 gb,0.6 cm,88 g,6,2 pixels,1262 ppcm,1538 ppcm,3647 mb,18 cm,11 cm,9,Yes,No,Yes,Very High cost
764 mAh,Yes,1.2,Yes,1 pixels,No,13 gb,1.0 cm,152 g,8,2 pixels,361 ppcm,511 ppcm,3148 mb,18 cm,7 cm,6,Yes,Yes,No,High cost
894 mAh,No,0.9,No,5 pixels,Yes,54 gb,0.2 cm,130 g,3,15 pixels,104 ppcm,541 ppcm,2829 mb,11 cm,5 cm,13,Yes,No,Yes,High cost
1589 mAh,No,2.6,No,9 pixels,No,46 gb,0.4 cm,84 g,3,16 pixels,618 ppcm,940 ppcm,2373 mb,11 cm,9 cm,20,Yes,Yes,No,High cost
1456 mAh,No,1.6,Yes,9 pixels,Yes,39 gb,0.1 cm,80 g,8,10 pixels,815 ppcm,1666 ppcm,3998 mb,6 cm,3 cm,13,Yes,Yes,No,Very High cost
743 mAh,No,0.5,Yes,0 pixels,Yes,33 gb,0.3 cm,95 g,2,1 pixels,1587 ppcm,1659 ppcm,316 mb,19 cm,10 cm,4,Yes,No,No,Low cost
1061 mAh,Yes,2.1,No,3 pixels,Yes,52 gb,0.1 cm,109 g,7,4 pixels,138 ppcm,1330 ppcm,999 mb,16 cm,12 cm,9,Yes,Yes,No,Low cost
1428 mAh,Yes,1.6,No,0 pixels,No,7 gb,0.1 cm,153 g,4,2 pixels,584 ppcm,983 ppcm,1808 mb,12 cm,8 cm,13,No,Yes,No,Medium cost
674 mAh,Yes,2.8,Yes,0 pixels,Yes,8 gb,0.2 cm,93 g,3,0 pixels,750 ppcm,772 ppcm,589 mb,18 cm,6 cm,4,Yes,Yes,No,Low cost
832 mAh,No,1.1,No,0 pixels,Yes,46 gb,0.3 cm,93 g,6,0 pixels,820 ppcm,1366 ppcm,3317 mb,8 cm,0 cm,19,Yes,Yes,No,Very High cost
1625 mAh,Yes,0.5,Yes,2 pixels,Yes,50 gb,0.1 cm,107 g,8,17 pixels,8 ppcm,1219 ppcm,670 mb,16 cm,3 cm,8,Yes,No,No,Low cost
907 mAh,No,1.4,Yes,3 pixels,No,42 gb,0.2 cm,151 g,1,16 pixels,171 ppcm,507 ppcm,584 mb,11 cm,9 cm,6,Yes,No,No,Low cost
1631 mAh,No,0.5,No,2 pixels,Yes,13 gb,0.5 cm,166 g,2,16 pixels,960 ppcm,1735 ppcm,2173 mb,12 cm,3 cm,8,Yes,Yes,No,High cost
1584 mAh,Yes,1.3,No,6 pixels,No,41 gb,0.6 cm,135 g,4,15 pixels,160 ppcm,1291 ppcm,1561 mb,10 cm,5 cm,17,No,No,Yes,Medium cost
1382 mAh,Yes,0.5,No,7 pixels,Yes,13 gb,0.3 cm,199 g,2,18 pixels,612 ppcm,719 ppcm,2073 mb,16 cm,7 cm,9,Yes,No,Yes,Medium cost
633 mAh,Yes,1.4,No,0 pixels,Yes,46 gb,0.7 cm,102 g,6,10 pixels,709 ppcm,1915 ppcm,1401 mb,19 cm,14 cm,11,Yes,Yes,No,Medium cost
1444 mAh,Yes,2.1,No,9 pixels,No,38 gb,0.4 cm,104 g,7,16 pixels,624 ppcm,917 ppcm,3764 mb,14 cm,9 cm,10,No,No,No,Very High cost
852 mAh,Yes,1.6,Yes,6 pixels,Yes,54 gb,0.4 cm,147 g,5,7 pixels,538 ppcm,730 ppcm,1275 mb,13 cm,7 cm,12,Yes,No,Yes,Low cost
922 mAh,Yes,0.7,No,0 pixels,Yes,47 gb,1.0 cm,157 g,8,14 pixels,1295 ppcm,1808 ppcm,1464 mb,17 cm,4 cm,12,Yes,No,Yes,Medium cost
1745 mAh,No,1.5,Yes,4 pixels,Yes,57 gb,0.1 cm,159 g,3,16 pixels,1164 ppcm,1908 ppcm,2885 mb,13 cm,11 cm,5,Yes,Yes,Yes,Very High cost
862 mAh,No,2.3,No,9 pixels,Yes,6 gb,0.1 cm,107 g,8,14 pixels,829 ppcm,1977 ppcm,3458 mb,9 cm,4 cm,9,Yes,Yes,Yes,Very High cost
1754 mAh,Yes,2.1,Yes,1 pixels,Yes,52 gb,1.0 cm,101 g,4,3 pixels,199 ppcm,1452 ppcm,3019 mb,11 cm,6 cm,19,Yes,No,Yes,Very High cost
1008 mAh,No,2.5,No,3 pixels,No,36 gb,1.0 cm,109 g,1,14 pixels,825 ppcm,1972 ppcm,1083 mb,6 cm,4 cm,6,No,No,No,Medium cost
1569 mAh,No,0.5,Yes,3 pixels,No,33 gb,0.2 cm,147 g,1,13 pixels,519 ppcm,930 ppcm,3538 mb,18 cm,1 cm,15,Yes,No,Yes,Very High cost
1596 mAh,No,2.9,Yes,7 pixels,No,7 gb,0.7 cm,149 g,2,9 pixels,169 ppcm,1190 ppcm,2493 mb,14 cm,12 cm,13,Yes,Yes,Yes,High cost
1807 mAh,Yes,0.5,Yes,2 pixels,Yes,61 gb,0.1 cm,134 g,6,6 pixels,1734 ppcm,1968 ppcm,3726 mb,8 cm,5 cm,15,Yes,No,No,Very High cost
1660 mAh,No,2.8,Yes,4 pixels,No,7 gb,0.8 cm,184 g,1,6 pixels,76 ppcm,1165 ppcm,1531 mb,12 cm,0 cm,7,No,No,No,Medium cost
1861 mAh,Yes,0.9,No,4 pixels,Yes,55 gb,0.5 cm,148 g,7,8 pixels,1698 ppcm,1877 ppcm,601 mb,7 cm,5 cm,4,Yes,No,No,Medium cost
648 mAh,No,1.9,Yes,4 pixels,No,8 gb,1.0 cm,91 g,5,19 pixels,819 ppcm,1997 ppcm,2991 mb,8 cm,7 cm,4,No,No,Yes,High cost
1379 mAh,No,0.5,Yes,1 pixels,No,19 gb,0.3 cm,134 g,8,17 pixels,387 ppcm,671 ppcm,3912 mb,11 cm,2 cm,19,No,Yes,Yes,Very High cost
1910 mAh,Yes,1.7,No,0 pixels,No,34 gb,0.6 cm,115 g,2,0 pixels,985 ppcm,1284 ppcm,309 mb,8 cm,4 cm,10,No,No,Yes,Low cost
1807 mAh,No,2.0,Yes,0 pixels,Yes,13 gb,0.5 cm,155 g,8,0 pixels,970 ppcm,974 ppcm,323 mb,9 cm,3 cm,3,Yes,Yes,Yes,Low cost
1923 mAh,No,0.5,Yes,7 pixels,No,46 gb,0.5 cm,191 g,1,10 pixels,767 ppcm,1759 ppcm,1489 mb,10 cm,9 cm,3,Yes,Yes,Yes,Medium cost
1345 mAh,Yes,3.0,No,7 pixels,Yes,38 gb,0.1 cm,162 g,3,11 pixels,512 ppcm,1465 ppcm,1322 mb,9 cm,2 cm,15,Yes,No,No,Medium cost
904 mAh,No,1.6,Yes,5 pixels,Yes,14 gb,0.2 cm,102 g,8,9 pixels,56 ppcm,760 ppcm,1846 mb,7 cm,0 cm,3,Yes,No,Yes,Medium cost
1239 mAh,No,1.2,Yes,5 pixels,Yes,52 gb,0.9 cm,122 g,2,10 pixels,590 ppcm,661 ppcm,417 mb,8 cm,0 cm,6,Yes,No,Yes,Low cost
1330 mAh,No,0.9,No,6 pixels,Yes,52 gb,0.8 cm,84 g,4,12 pixels,462 ppcm,1304 ppcm,3269 mb,19 cm,6 cm,8,Yes,Yes,No,Very High cost
516 mAh,Yes,0.7,Yes,1 pixels,No,30 gb,0.9 cm,138 g,1,12 pixels,126 ppcm,698 ppcm,3731 mb,17 cm,13 cm,15,No,No,No,High cost
672 mAh,Yes,0.5,Yes,0 pixels,No,54 gb,0.9 cm,95 g,4,11 pixels,578 ppcm,1143 ppcm,667 mb,17 cm,8 cm,14,No,No,No,Low cost
892 mAh,Yes,0.5,No,0 pixels,Yes,47 gb,0.4 cm,94 g,1,18 pixels,655 ppcm,1782 ppcm,1241 mb,12 cm,3 cm,9,Yes,No,Yes,Medium cost
1778 mAh,No,0.5,No,0 pixels,Yes,23 gb,0.5 cm,101 g,6,11 pixels,1028 ppcm,1445 ppcm,3941 mb,19 cm,6 cm,13,Yes,No,No,Very High cost
1130 mAh,Yes,2.5,No,4 pixels,Yes,58 gb,0.1 cm,132 g,5,14 pixels,88 ppcm,1261 ppcm,1018 mb,17 cm,1 cm,16,Yes,No,No,Low cost
1359 mAh,No,0.6,No,4 pixels,No,59 gb,0.3 cm,86 g,2,6 pixels,1692 ppcm,1902 ppcm,3142 mb,19 cm,3 cm,17,No,Yes,Yes,Very High cost
1866 mAh,Yes,2.5,Yes,3 pixels,Yes,47 gb,0.8 cm,89 g,5,9 pixels,358 ppcm,1782 ppcm,1444 mb,7 cm,4 cm,20,Yes,No,No,Medium cost
1597 mAh,No,2.3,No,11 pixels,No,34 gb,0.4 cm,89 g,1,14 pixels,64 ppcm,1667 ppcm,934 mb,16 cm,10 cm,9,No,Yes,No,Low cost
1046 mAh,Yes,2.8,Yes,0 pixels,Yes,58 gb,0.2 cm,100 g,8,0 pixels,259 ppcm,1040 ppcm,3863 mb,17 cm,12 cm,9,Yes,Yes,Yes,Very High cost
1035 mAh,No,0.6,Yes,2 pixels,Yes,44 gb,0.5 cm,99 g,3,3 pixels,236 ppcm,1960 ppcm,3506 mb,14 cm,5 cm,12,Yes,Yes,No,Very High cost
1175 mAh,Yes,1.3,No,2 pixels,No,19 gb,0.3 cm,164 g,7,9 pixels,873 ppcm,1394 ppcm,1944 mb,9 cm,4 cm,9,Yes,Yes,No,Medium cost
1261 mAh,Yes,0.5,Yes,0 pixels,Yes,11 gb,0.2 cm,90 g,4,0 pixels,858 ppcm,1591 ppcm,348 mb,14 cm,9 cm,14,Yes,No,Yes,Low cost
1068 mAh,No,0.7,Yes,9 pixels,No,51 gb,0.5 cm,124 g,4,15 pixels,1405 ppcm,1910 ppcm,550 mb,12 cm,8 cm,6,Yes,Yes,No,Low cost
1713 mAh,No,3.0,Yes,5 pixels,Yes,20 gb,0.9 cm,104 g,7,17 pixels,237 ppcm,890 ppcm,971 mb,11 cm,10 cm,10,Yes,No,No,Low cost
1688 mAh,No,2.5,No,0 pixels,Yes,21 gb,0.2 cm,170 g,7,0 pixels,650 ppcm,864 ppcm,3984 mb,17 cm,14 cm,8,Yes,Yes,Yes,Very High cost
1413 mAh,Yes,0.5,Yes,4 pixels,Yes,45 gb,0.4 cm,104 g,5,6 pixels,1949 ppcm,1994 ppcm,2973 mb,17 cm,8 cm,15,Yes,No,Yes,Very High cost
559 mAh,Yes,0.5,No,10 pixels,No,11 gb,0.4 cm,82 g,5,14 pixels,541 ppcm,823 ppcm,2019 mb,10 cm,4 cm,16,Yes,Yes,Yes,Medium cost
1483 mAh,Yes,2.6,Yes,13 pixels,No,19 gb,0.6 cm,146 g,7,19 pixels,361 ppcm,1552 ppcm,1587 mb,9 cm,4 cm,19,No,No,No,Medium cost
860 mAh,Yes,1.6,Yes,13 pixels,No,48 gb,0.5 cm,187 g,7,18 pixels,335 ppcm,1463 ppcm,1870 mb,17 cm,2 cm,18,Yes,No,No,Medium cost
1090 mAh,No,1.3,Yes,5 pixels,No,27 gb,0.1 cm,91 g,4,16 pixels,1638 ppcm,1910 ppcm,1352 mb,5 cm,1 cm,11,No,Yes,No,Medium cost
686 mAh,Yes,0.5,No,11 pixels,No,3 gb,0.3 cm,91 g,6,15 pixels,1109 ppcm,1392 ppcm,570 mb,7 cm,6 cm,19,No,Yes,No,Low cost
818 mAh,No,1.3,No,14 pixels,No,43 gb,0.9 cm,177 g,6,15 pixels,111 ppcm,510 ppcm,546 mb,12 cm,6 cm,7,Yes,Yes,Yes,Low cost
1456 mAh,No,1.6,Yes,5 pixels,No,49 gb,0.2 cm,193 g,3,20 pixels,1285 ppcm,1427 ppcm,3624 mb,12 cm,11 cm,16,Yes,Yes,No,Very High cost
774 mAh,No,0.5,Yes,2 pixels,Yes,10 gb,0.5 cm,188 g,2,9 pixels,1480 ppcm,1731 ppcm,2944 mb,8 cm,6 cm,2,Yes,Yes,Yes,High cost
1068 mAh,No,0.5,Yes,0 pixels,Yes,19 gb,0.9 cm,197 g,8,9 pixels,322 ppcm,875 ppcm,1209 mb,19 cm,12 cm,12,Yes,Yes,No,Low cost
1373 mAh,Yes,1.9,Yes,1 pixels,Yes,29 gb,0.9 cm,141 g,6,12 pixels,1220 ppcm,1348 ppcm,2752 mb,15 cm,2 cm,7,Yes,Yes,Yes,Very High cost
1777 mAh,Yes,3.0,No,3 pixels,No,20 gb,0.6 cm,188 g,6,5 pixels,511 ppcm,616 ppcm,3868 mb,5 cm,1 cm,7,No,Yes,Yes,Very High cost
594 mAh,No,0.8,No,2 pixels,Yes,28 gb,0.1 cm,132 g,5,3 pixels,1011 ppcm,1263 ppcm,3087 mb,16 cm,4 cm,4,Yes,Yes,Yes,High cost
1524 mAh,No,2.6,Yes,5 pixels,No,57 gb,0.5 cm,124 g,2,12 pixels,629 ppcm,635 ppcm,947 mb,11 cm,4 cm,16,No,Yes,Yes,Low cost
511 mAh,Yes,0.6,Yes,12 pixels,No,50 gb,0.1 cm,175 g,3,16 pixels,140 ppcm,622 ppcm,1484 mb,9 cm,7 cm,8,Yes,No,No,Low cost
1402 mAh,Yes,0.6,Yes,3 pixels,No,46 gb,0.3 cm,87 g,7,12 pixels,1081 ppcm,1767 ppcm,347 mb,17 cm,0 cm,12,Yes,No,Yes,Low cost
965 mAh,Yes,0.5,No,15 pixels,No,53 gb,1.0 cm,131 g,8,19 pixels,297 ppcm,653 ppcm,3227 mb,12 cm,6 cm,8,Yes,No,No,High cost
1270 mAh,Yes,2.3,No,0 pixels,No,58 gb,0.5 cm,104 g,5,1 pixels,1512 ppcm,1716 ppcm,3299 mb,13 cm,4 cm,16,No,No,Yes,Very High cost
919 mAh,No,0.5,Yes,11 pixels,No,13 gb,0.3 cm,159 g,1,15 pixels,275 ppcm,570 ppcm,1028 mb,8 cm,4 cm,17,Yes,No,No,Low cost
1963 mAh,Yes,1.0,No,16 pixels,Yes,34 gb,0.1 cm,157 g,2,17 pixels,1136 ppcm,1813 ppcm,714 mb,18 cm,2 cm,2,Yes,No,Yes,Medium cost
1977 mAh,No,1.3,Yes,2 pixels,No,31 gb,0.4 cm,173 g,8,6 pixels,1145 ppcm,1356 ppcm,2641 mb,8 cm,2 cm,7,No,No,No,Very High cost
1881 mAh,No,2.2,No,4 pixels,No,51 gb,0.3 cm,158 g,5,7 pixels,477 ppcm,1553 ppcm,1229 mb,12 cm,0 cm,14,Yes,No,No,Medium cost
683 mAh,No,0.7,No,5 pixels,No,19 gb,0.9 cm,173 g,4,17 pixels,954 ppcm,1985 ppcm,2622 mb,16 cm,3 cm,5,No,No,Yes,High cost
772 mAh,No,2.6,Yes,7 pixels,No,6 gb,0.1 cm,100 g,2,10 pixels,741 ppcm,1471 ppcm,929 mb,13 cm,6 cm,18,No,Yes,Yes,Low cost
536 mAh,Yes,1.4,No,0 pixels,Yes,53 gb,0.7 cm,135 g,3,0 pixels,547 ppcm,705 ppcm,1211 mb,15 cm,10 cm,7,Yes,No,Yes,Low cost
1694 mAh,No,1.8,No,0 pixels,No,53 gb,1.0 cm,186 g,6,0 pixels,1194 ppcm,1208 ppcm,1653 mb,7 cm,5 cm,6,Yes,No,No,High cost
1633 mAh,No,1.7,Yes,3 pixels,Yes,33 gb,0.9 cm,111 g,2,19 pixels,146 ppcm,906 ppcm,511 mb,9 cm,0 cm,7,Yes,Yes,No,Low cost
1371 mAh,No,0.5,No,4 pixels,No,52 gb,0.5 cm,167 g,4,19 pixels,471 ppcm,663 ppcm,3034 mb,13 cm,6 cm,8,No,No,No,High cost
551 mAh,Yes,2.8,No,0 pixels,Yes,54 gb,0.1 cm,172 g,7,15 pixels,169 ppcm,1916 ppcm,1414 mb,6 cm,1 cm,19,Yes,No,Yes,Low cost
1221 mAh,No,0.5,No,1 pixels,Yes,28 gb,0.5 cm,139 g,1,7 pixels,1895 ppcm,1976 ppcm,2438 mb,13 cm,11 cm,10,Yes,Yes,Yes,Very High cost
1000 mAh,Yes,0.5,No,12 pixels,No,63 gb,0.7 cm,179 g,8,18 pixels,1537 ppcm,1761 ppcm,3744 mb,11 cm,1 cm,7,No,No,Yes,Very High cost
1986 mAh,No,2.7,Yes,3 pixels,Yes,64 gb,0.2 cm,162 g,4,20 pixels,236 ppcm,1520 ppcm,1377 mb,5 cm,3 cm,15,Yes,Yes,Yes,Medium cost
1119 mAh,No,0.5,Yes,0 pixels,Yes,23 gb,0.4 cm,164 g,4,1 pixels,821 ppcm,915 ppcm,3520 mb,7 cm,4 cm,7,Yes,No,No,Very High cost
1699 mAh,No,0.5,Yes,1 pixels,No,59 gb,0.5 cm,97 g,4,3 pixels,466 ppcm,1768 ppcm,3796 mb,17 cm,10 cm,12,No,Yes,Yes,Very High cost
1099 mAh,No,0.5,No,13 pixels,Yes,61 gb,0.3 cm,146 g,3,20 pixels,393 ppcm,1096 ppcm,1699 mb,17 cm,10 cm,3,Yes,Yes,Yes,Medium cost
1576 mAh,No,2.6,No,7 pixels,No,58 gb,0.2 cm,90 g,3,16 pixels,400 ppcm,631 ppcm,336 mb,14 cm,8 cm,13,Yes,Yes,Yes,Low cost
950 mAh,Yes,0.5,No,9 pixels,No,55 gb,0.1 cm,156 g,5,10 pixels,774 ppcm,843 ppcm,1095 mb,14 cm,12 cm,13,No,Yes,No,Low cost
1081 mAh,Yes,2.5,Yes,13 pixels,No,49 gb,1.0 cm,99 g,3,17 pixels,284 ppcm,519 ppcm,325 mb,9 cm,1 cm,6,No,No,Yes,Low cost
606 mAh,No,2.5,No,1 pixels,Yes,53 gb,0.2 cm,146 g,4,2 pixels,465 ppcm,1152 ppcm,1223 mb,19 cm,12 cm,7,Yes,No,No,Low cost
502 mAh,No,1.5,Yes,7 pixels,No,37 gb,0.2 cm,199 g,2,12 pixels,705 ppcm,1810 ppcm,1649 mb,6 cm,1 cm,14,No,Yes,No,Medium cost
957 mAh,Yes,0.7,No,0 pixels,Yes,4 gb,0.1 cm,160 g,2,0 pixels,38 ppcm,1682 ppcm,1898 mb,12 cm,4 cm,3,Yes,Yes,No,Medium cost
1658 mAh,Yes,1.4,Yes,0 pixels,Yes,38 gb,0.3 cm,159 g,5,0 pixels,51 ppcm,739 ppcm,2609 mb,12 cm,11 cm,19,Yes,No,No,High cost
1681 mAh,Yes,2.5,Yes,6 pixels,No,18 gb,0.3 cm,167 g,1,7 pixels,850 ppcm,1005 ppcm,2265 mb,5 cm,3 cm,20,Yes,Yes,Yes,High cost
1983 mAh,Yes,0.5,Yes,3 pixels,No,43 gb,1.0 cm,87 g,6,10 pixels,349 ppcm,676 ppcm,2775 mb,9 cm,4 cm,3,No,Yes,Yes,High cost
1753 mAh,No,1.2,No,8 pixels,Yes,12 gb,0.9 cm,113 g,7,17 pixels,387 ppcm,1595 ppcm,1445 mb,17 cm,16 cm,12,Yes,Yes,Yes,Medium cost
1632 mAh,Yes,1.4,No,0 pixels,No,41 gb,0.1 cm,132 g,4,1 pixels,706 ppcm,1623 ppcm,2614 mb,5 cm,4 cm,15,Yes,No,No,High cost
1949 mAh,Yes,1.4,No,7 pixels,No,57 gb,0.3 cm,145 g,7,11 pixels,951 ppcm,1178 ppcm,356 mb,5 cm,3 cm,19,No,No,No,Low cost
1696 mAh,No,1.7,No,1 pixels,No,13 gb,0.9 cm,97 g,3,2 pixels,179 ppcm,772 ppcm,523 mb,5 cm,0 cm,4,No,Yes,Yes,Low cost
688 mAh,No,2.5,Yes,0 pixels,No,57 gb,0.8 cm,131 g,7,3 pixels,426 ppcm,1964 ppcm,3745 mb,17 cm,1 cm,4,No,Yes,No,Very High cost
1104 mAh,No,1.7,No,1 pixels,Yes,60 gb,0.4 cm,199 g,2,13 pixels,653 ppcm,1413 ppcm,1229 mb,6 cm,0 cm,3,Yes,Yes,Yes,Low cost
1122 mAh,No,2.8,No,0 pixels,No,28 gb,0.6 cm,184 g,3,4 pixels,1578 ppcm,1963 ppcm,1402 mb,14 cm,10 cm,3,No,Yes,No,Medium cost
504 mAh,Yes,0.5,Yes,2 pixels,Yes,46 gb,0.9 cm,172 g,5,14 pixels,280 ppcm,1795 ppcm,2085 mb,13 cm,5 cm,8,Yes,No,No,Medium cost
1154 mAh,No,0.5,No,12 pixels,Yes,14 gb,0.7 cm,156 g,7,14 pixels,251 ppcm,1801 ppcm,587 mb,8 cm,3 cm,4,Yes,Yes,Yes,Low cost
1727 mAh,No,2.1,No,2 pixels,Yes,63 gb,0.6 cm,85 g,7,8 pixels,1463 ppcm,1992 ppcm,2457 mb,19 cm,13 cm,7,Yes,No,Yes,Very High cost
1674 mAh,No,2.8,Yes,0 pixels,Yes,52 gb,0.2 cm,89 g,3,7 pixels,1432 ppcm,1649 ppcm,2030 mb,7 cm,0 cm,6,Yes,No,No,High cost
1948 mAh,No,2.8,Yes,5 pixels,Yes,18 gb,0.2 cm,135 g,2,14 pixels,477 ppcm,571 ppcm,816 mb,16 cm,2 cm,3,Yes,No,No,Low cost
1218 mAh,Yes,2.8,Yes,3 pixels,No,39 gb,0.8 cm,150 g,7,14 pixels,1122 ppcm,1746 ppcm,1667 mb,10 cm,0 cm,12,No,No,No,Medium cost
531 mAh,No,1.1,No,10 pixels,No,63 gb,0.7 cm,189 g,7,14 pixels,145 ppcm,1903 ppcm,2958 mb,17 cm,1 cm,19,No,Yes,No,High cost
1057 mAh,No,2.1,No,4 pixels,No,5 gb,0.5 cm,154 g,5,13 pixels,416 ppcm,1055 ppcm,3705 mb,6 cm,4 cm,13,Yes,No,No,Very High cost
576 mAh,No,1.2,No,1 pixels,No,30 gb,0.8 cm,162 g,8,5 pixels,847 ppcm,893 ppcm,2800 mb,11 cm,6 cm,16,No,Yes,Yes,High cost
1960 mAh,Yes,2.1,No,1 pixels,No,7 gb,0.2 cm,165 g,7,9 pixels,868 ppcm,877 ppcm,3773 mb,11 cm,9 cm,6,No,Yes,Yes,Very High cost
673 mAh,Yes,1.7,Yes,3 pixels,Yes,22 gb,0.1 cm,88 g,1,5 pixels,594 ppcm,1088 ppcm,2050 mb,7 cm,2 cm,17,Yes,Yes,No,Medium cost
718 mAh,No,0.7,Yes,0 pixels,Yes,21 gb,0.8 cm,88 g,1,7 pixels,518 ppcm,830 ppcm,1754 mb,17 cm,11 cm,9,Yes,No,Yes,Medium cost
864 mAh,No,1.7,No,3 pixels,Yes,35 gb,0.3 cm,103 g,3,7 pixels,663 ppcm,1805 ppcm,1904 mb,12 cm,8 cm,13,Yes,Yes,Yes,Medium cost
547 mAh,No,1.9,Yes,1 pixels,No,37 gb,0.4 cm,154 g,5,4 pixels,371 ppcm,541 ppcm,2705 mb,17 cm,3 cm,10,Yes,Yes,No,Medium cost
623 mAh,Yes,0.9,No,1 pixels,Yes,3 gb,0.1 cm,102 g,8,7 pixels,1749 ppcm,1781 ppcm,3537 mb,16 cm,13 cm,3,Yes,No,Yes,Very High cost
1793 mAh,No,0.7,Yes,11 pixels,No,27 gb,0.4 cm,154 g,5,13 pixels,586 ppcm,722 ppcm,1370 mb,16 cm,3 cm,19,Yes,No,Yes,Medium cost
1720 mAh,Yes,0.7,Yes,0 pixels,No,19 gb,0.1 cm,137 g,2,3 pixels,409 ppcm,646 ppcm,1222 mb,13 cm,2 cm,7,No,No,No,Medium cost
812 mAh,No,0.5,Yes,1 pixels,No,64 gb,1.0 cm,106 g,4,7 pixels,35 ppcm,1309 ppcm,3102 mb,6 cm,0 cm,2,No,No,No,High cost
980 mAh,Yes,0.5,No,0 pixels,Yes,33 gb,0.9 cm,160 g,6,0 pixels,1008 ppcm,1758 ppcm,2268 mb,7 cm,5 cm,4,Yes,Yes,No,High cost
643 mAh,No,1.0,No,9 pixels,Yes,18 gb,0.2 cm,187 g,8,12 pixels,442 ppcm,1079 ppcm,2648 mb,7 cm,5 cm,18,Yes,Yes,Yes,Medium cost
1925 mAh,No,3.0,Yes,0 pixels,Yes,16 gb,0.8 cm,175 g,8,11 pixels,983 ppcm,1087 ppcm,2173 mb,7 cm,3 cm,19,Yes,Yes,No,High cost
1408 mAh,Yes,2.5,No,3 pixels,No,32 gb,0.1 cm,151 g,4,6 pixels,875 ppcm,982 ppcm,3162 mb,19 cm,18 cm,3,Yes,No,No,Very High cost
1522 mAh,Yes,0.7,Yes,4 pixels,No,28 gb,0.2 cm,124 g,1,5 pixels,952 ppcm,1191 ppcm,1368 mb,14 cm,5 cm,17,Yes,No,Yes,Medium cost
587 mAh,Yes,2.5,No,16 pixels,Yes,51 gb,0.6 cm,111 g,1,17 pixels,244 ppcm,1361 ppcm,2746 mb,10 cm,4 cm,7,Yes,No,Yes,High cost
1959 mAh,No,0.5,Yes,5 pixels,No,18 gb,0.7 cm,191 g,6,20 pixels,65 ppcm,1055 ppcm,619 mb,7 cm,4 cm,8,Yes,Yes,Yes,Low cost
1872 mAh,No,0.5,Yes,3 pixels,No,17 gb,0.7 cm,89 g,6,6 pixels,1749 ppcm,1767 ppcm,724 mb,17 cm,3 cm,9,Yes,No,Yes,Medium cost
1043 mAh,Yes,0.5,No,7 pixels,No,42 gb,0.1 cm,111 g,3,8 pixels,716 ppcm,1626 ppcm,912 mb,16 cm,9 cm,6,No,Yes,No,Low cost
1809 mAh,No,0.5,No,6 pixels,No,23 gb,0.7 cm,123 g,6,19 pixels,433 ppcm,1661 ppcm,2784 mb,12 cm,6 cm,20,Yes,Yes,Yes,Very High cost
1703 mAh,Yes,0.5,No,5 pixels,Yes,23 gb,0.2 cm,92 g,6,7 pixels,134 ppcm,521 ppcm,793 mb,7 cm,3 cm,17,Yes,Yes,No,Low cost
1095 mAh,Yes,0.5,No,4 pixels,No,45 gb,0.5 cm,197 g,1,5 pixels,179 ppcm,1247 ppcm,560 mb,9 cm,1 cm,10,Yes,Yes,No,Low cost
1414 mAh,No,2.6,No,1 pixels,No,27 gb,0.6 cm,137 g,4,20 pixels,804 ppcm,1564 ppcm,312 mb,5 cm,2 cm,8,No,No,Yes,Low cost
1659 mAh,Yes,2.5,No,2 pixels,No,41 gb,0.1 cm,88 g,7,18 pixels,787 ppcm,1515 ppcm,545 mb,12 cm,0 cm,9,No,Yes,Yes,Low cost
1540 mAh,No,0.7,Yes,1 pixels,No,60 gb,0.8 cm,197 g,7,12 pixels,704 ppcm,822 ppcm,1591 mb,19 cm,0 cm,2,Yes,No,Yes,Medium cost
